timestamp	mode	url	planned_rate_rps	planned_duration_sec	total_planned	completed	success	errors	wall_ms	achieved_rps	avg_ms	min_ms	p50_ms	p90_ms	p95_ms	p99_ms	max_ms
2025-09-02T20:16:56.578Z	without	http://localhost:3000/fib?n=10	10	60	600	600	600	0	61068	9.83	4.03	1	4	6	7	8	22
2025-09-02T20:26:55.411Z	without	http://localhost:3000/fib?n=10	100	60	6000	6000	6000	0	61068	98.25	8.17	2	7	12	13	22	42
2025-09-02T20:28:59.713Z	without	http://localhost:3000/fib?n=10	1000	60	60000	60000	60000	0	61059	982.66	118.63	45	66	285	295	308	323
2025-09-02T20:41:34.308Z	without	http://localhost:3000/fib?n=10	10000	60	600000	600000	259984	340016	715717	838.32	29029.34	603	25631	45656	55228	62621	176352
2025-09-02T21:23:48.879Z	without	http://127.0.0.1:49734//fib?n=10	10	60	600	600	0	600	61054	9.83	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2025-09-02T21:28:49.663Z	without	http://127.0.0.1:49734//fib?n=10	100	60	6000	6000	0	6000	61044	98.29	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2025-09-02T21:42:10.095Z	without	http://127.0.0.1:54772/fib?n=10	100	60	6000	6000	6000	0	61061	98.26	22.86	4	18	52	59	63	126
2025-09-02T21:43:37.265Z	without	http://127.0.0.1:54772/fib?n=10	10	60	600	600	600	0	61055	9.83	8.39	2	8	12	13	48	49
2025-09-02T21:54:04.232Z	without	http://127.0.0.1:54772/fib?n=10	10000	60	600000	600000	0	600000	61058	9826.72	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2025-09-02T21:58:37.107Z	with	http://127.0.0.1:54772/fib?n=10	10	60	600	600	0	600	61056	9.83	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2025-09-02T22:00:08.469Z	with	http://127.0.0.1:54772/fib?n=10	100	60	6000	6000	0	6000	61059	98.27	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2025-09-02T22:01:47.945Z	with	http://127.0.0.1:54772/fib?n=1	100	60	6000	6000	0	6000	61058	98.27	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2025-09-04T22:02:27.980Z	without	http://127.0.0.1:54772/reverse	10	60	600	600	0	600	61056	9.83	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2025-09-05T13:11:04.752Z	dockerswarm	http://localhost:3000	NaN	0.056	10	10	10	0	56	178.57	5.48	0.73	0.86	2.98	44.78	44.78	44.78
